metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
logicinsight.pe.cluster_stats_controller_num_read_iops,gauge,15,operation,second,Number of read IOPS measured at the controller level.,1,logicinsight_nutanix_core,cluster stats controller num read iops,,
logicinsight.pe.cluster_stats_controller_num_seq_io,gauge,15,operation,,Total number of sequential I/O operations handled by the controller.,1,logicinsight_nutanix_core,cluster stats controller num seq io,,
logicinsight.pe.cluster_stats_controller_num_write_io,gauge,15,operation,,Total number of write I/O operations executed by the controller.,1,logicinsight_nutanix_core,cluster stats controller num write io,,
logicinsight.pe.cluster_stats_controller_num_write_iops,gauge,15,operation,second,Number of write IOPS measured at the controller level.,1,logicinsight_nutanix_core,cluster stats controller num write iops,,
logicinsight.pe.cluster_stats_controller_random_io_ppm,gauge,15,percent,,Percentage of I/O operations that are random as measured by the controller.,1,logicinsight_nutanix_core,cluster stats controller random io ppm,,
logicinsight.pe.cluster_stats_controller_read_io_bandwidth_kBps,gauge,15,kibibyte,second,Bandwidth of read I/O operations handled by the controller in kilobytes per second.,1,logicinsight_nutanix_core,cluster stats controller read io bandwidth kBps,,
logicinsight.pe.cluster_stats_controller_read_io_ppm,gauge,15,percent,,Percentage of total I/O operations that are reads as measured by the controller.,1,logicinsight_nutanix_core,cluster stats controller read io ppm,,
logicinsight.pe.cluster_stats_controller_seq_io_ppm,gauge,15,percent,,Percentage of I/O operations that are sequential as seen by the controller.,1,logicinsight_nutanix_core,cluster stats controller seq io ppm,,
logicinsight.pe.cluster_stats_controller_timespan_usecs,gauge,15,microsecond,,Total time window over which controller I/O metrics were measured in microseconds.,1,logicinsight_nutanix_core,cluster stats controller timespan usecs,,
logicinsight.pe.cluster_stats_controller_total_io_size_kbytes,gauge,15,kibibyte,,Total cumulative size of I/O operations processed by the controller in kibibytes.,1,logicinsight_nutanix_core,cluster stats controller total io size kbytes,,
logicinsight.pe.cluster_stats_controller_total_io_time_usecs,gauge,15,microsecond,,Total time spent processing all I/O operations at the controller in microseconds.,1,logicinsight_nutanix_core,cluster stats controller total io time usecs,,
logicinsight.pe.cluster_stats_controller_total_read_io_size_kbytes,gauge,15,kibibyte,,Total size of read I/O operations processed by the controller in kibibytes.,1,logicinsight_nutanix_core,cluster stats controller total read io size kbytes,,
logicinsight.pe.cluster_stats_controller_total_read_io_time_usecs,gauge,15,microsecond,,Total time spent on read I/O operations at the controller in microseconds.,1,logicinsight_nutanix_core,cluster stats controller total read io time usecs,,
logicinsight.pe.cluster_stats_controller_total_transformed_usage_bytes,gauge,15,byte,,Amount of data transformed by the controller,1,logicinsight_nutanix_core,cluster stats controller total transformed usage bytes,,
logicinsight.pe.cluster_stats_controller_write_io_bandwidth_kBps,gauge,15,kibibyte,second,Bandwidth of write I/O operations handled by the controller in kilobytes per second.,1,logicinsight_nutanix_core,cluster stats controller write io bandwidth kBps,,
logicinsight.pe.cluster_stats_controller_write_io_ppm,gauge,15,percent,,Percentage of write I/O operations at the controller level.,1,logicinsight_nutanix_core,cluster stats controller write io ppm,,
logicinsight.pe.cluster_stats_hypervisor_avg_io_latency_usecs,gauge,15,microsecond,,Average I/O latency across all operations handled by the hypervisor in microseconds.,-1,logicinsight_nutanix_core,cluster stats hypervisor avg io latency usecs,,
logicinsight.pe.cluster_stats_hypervisor_avg_read_io_latency_usecs,gauge,15,microsecond,,Average latency of read I/O operations through the hypervisor in microseconds.,-1,logicinsight_nutanix_core,cluster stats hypervisor avg read io latency usecs,,
logicinsight.pe.cluster_stats_hypervisor_avg_write_io_latency_usecs,gauge,15,microsecond,,Average latency of write I/O operations through the hypervisor in microseconds.,-1,logicinsight_nutanix_core,cluster stats hypervisor avg write io latency usecs,,
logicinsight.pe.cluster_stats_hypervisor_cpu_usage_ppm,gauge,15,percent,,Total CPU usage across all hypervisors,-1,logicinsight_nutanix_core,cluster stats hypervisor cpu usage ppm,,
logicinsight.pe.cluster_stats_hypervisor_esx_cpu_usage_ppm,gauge,15,percent,,CPU usage specific to ESXi hypervisors,-1,logicinsight_nutanix_core,cluster stats hypervisor esx cpu usage ppm,,
logicinsight.pe.cluster_stats_hypervisor_esx_memory_usage_ppm,gauge,15,percent,,Memory usage specific to ESXi hypervisors,-1,logicinsight_nutanix_core,cluster stats hypervisor esx memory usage ppm,,
logicinsight.pe.cluster_stats_hypervisor_hyperv_cpu_usage_ppm,gauge,15,percent,,CPU usage specific to Hyper-V hypervisors,-1,logicinsight_nutanix_core,cluster stats hypervisor hyperv cpu usage ppm,,
logicinsight.pe.cluster_stats_hypervisor_hyperv_memory_usage_ppm,gauge,15,percent,,Memory usage specific to Hyper-V hypervisors,-1,logicinsight_nutanix_core,cluster stats hypervisor hyperv memory usage ppm,,
logicinsight.pe.cluster_stats_hypervisor_io_bandwidth_kBps,gauge,15,kibibyte,second,Total I/O bandwidth across all hypervisors,1,logicinsight_nutanix_core,cluster stats hypervisor io bandwidth kBps,,
logicinsight.pe.cluster_stats_hypervisor_kvm_cpu_usage_ppm,gauge,15,percent,,CPU usage specific to KVM hypervisors,-1,logicinsight_nutanix_core,cluster stats hypervisor kvm cpu usage ppm,,
logicinsight.pe.cluster_stats_hypervisor_kvm_memory_usage_ppm,gauge,15,percent,,Memory usage specific to KVM hypervisors,-1,logicinsight_nutanix_core,cluster stats hypervisor kvm memory usage ppm,,
logicinsight.pe.cluster_stats_hypervisor_memory_usage_ppm,gauge,15,percent,,Total memory usage across all hypervisors,-1,logicinsight_nutanix_core,cluster stats hypervisor memory usage ppm,,
logicinsight.pe.cluster_stats_hypervisor_num_io,gauge,15,operation,,Total number of I/O operations handled by the hypervisor layer.,1,logicinsight_nutanix_core,cluster stats hypervisor num io,,
logicinsight.pe.cluster_stats_hypervisor_num_iops,gauge,15,operation,second,Total number of IOPS measured at the hypervisor level.,1,logicinsight_nutanix_core,cluster stats hypervisor num iops,,
logicinsight.pe.cluster_stats_hypervisor_num_read_io,gauge,15,operation,,Total number of read I/O operations performed by the hypervisor.,1,logicinsight_nutanix_core,cluster stats hypervisor num read io,,
logicinsight.pe.cluster_stats_hypervisor_num_read_iops,gauge,15,operation,second,Read IOPS measured from the hypervisor.,1,logicinsight_nutanix_core,cluster stats hypervisor num read iops,,
logicinsight.pe.cluster_stats_hypervisor_num_write_io,gauge,15,operation,,Total number of write I/O operations performed by the hypervisor.,1,logicinsight_nutanix_core,cluster stats hypervisor num write io,,
logicinsight.pe.cluster_stats_hypervisor_num_write_iops,gauge,15,operation,second,Write IOPS measured from the hypervisor.,1,logicinsight_nutanix_core,cluster stats hypervisor num write iops,,
logicinsight.pe.cluster_stats_hypervisor_read_io_bandwidth_kBps,gauge,15,kibibyte,second,Read I/O bandwidth from the hypervisor,1,logicinsight_nutanix_core,cluster stats hypervisor read io bandwidth kBps,,
logicinsight.pe.cluster_stats_hypervisor_timespan_usecs,gauge,15,microsecond,,Time window over which hypervisor metrics ,1,logicinsight_nutanix_core,cluster stats hypervisor timespan usecs,,
logicinsight.pe.cluster_stats_hypervisor_total_io_size_kbytes,gauge,15,kibibyte,,Total size of all I/O operations measured at the hypervisor,1,logicinsight_nutanix_core,cluster stats hypervisor total io size kbytes,,
logicinsight.pe.cluster_stats_hypervisor_total_io_time_usecs,gauge,15,microsecond,,Total time spent on I/O operations by the hypervisor,1,logicinsight_nutanix_core,cluster stats hypervisor total io time usecs,,
logicinsight.pe.cluster_stats_hypervisor_total_read_io_size_kbytes,gauge,15,kibibyte,,Total size of read I/O operations handled by the hypervisor,1,logicinsight_nutanix_core,cluster stats hypervisor total read io size kbytes,,
logicinsight.pe.cluster_stats_hypervisor_total_read_io_time_usecs,gauge,15,microsecond,,Total time spent on read I/O operations by the hypervisor,1,logicinsight_nutanix_core,cluster stats hypervisor total read io time usecs,,
logicinsight.pe.cluster_stats_hypervisor_write_io_bandwidth_kBps,gauge,15,kibibyte,second,Write I/O bandwidth from the hypervisor,1,logicinsight_nutanix_core,cluster stats hypervisor write io bandwidth kBps,,
logicinsight.pe.cluster_stats_io_bandwidth_kBps,gauge,15,kibibyte,second,Total I/O bandwidth at the cluster level,1,logicinsight_nutanix_core,cluster stats io bandwidth kBps,,
logicinsight.pe.cluster_stats_num_io,gauge,15,operation,,Total number of I/O operations performed cluster-wide.,1,logicinsight_nutanix_core,cluster stats num io,,
logicinsight.pe.cluster_stats_num_iops,gauge,15,operation,second,Total IOPS (I/O operations per second) cluster-wide.,1,logicinsight_nutanix_core,cluster stats num iops,,
logicinsight.pe.cluster_stats_num_random_io,gauge,15,operation,,Number of random I/O operations performed in the cluster.,1,logicinsight_nutanix_core,cluster stats num random io,,
logicinsight.pe.cluster_stats_num_read_io,gauge,15,operation,,Number of read I/O operations performed in the cluster.,1,logicinsight_nutanix_core,cluster stats num read io,,
logicinsight.pe.cluster_stats_num_read_iops,gauge,15,operation,second,Read IOPS measured at the cluster level.,1,logicinsight_nutanix_core,cluster stats num read iops,,
logicinsight.pe.cluster_stats_num_seq_io,gauge,15,operation,,Number of sequential I/O operations performed in the cluster.,1,logicinsight_nutanix_core,cluster stats num seq io,,
logicinsight.pe.cluster_stats_num_write_io,gauge,15,operation,,Number of write I/O operations performed in the cluster.,1,logicinsight_nutanix_core,cluster stats num write io,,
logicinsight.pe.cluster_stats_num_write_iops,gauge,15,operation,second,Write IOPS measured at the cluster level.,1,logicinsight_nutanix_core,cluster stats num write iops,,
logicinsight.pe.cluster_stats_random_io_ppm,gauge,15,percent,,Percentage of I/O operations that were random.,1,logicinsight_nutanix_core,cluster stats random io ppm,,
logicinsight.pe.cluster_stats_read_io_bandwidth_kBps,gauge,15,kibibyte,second,Read I/O bandwidth in the cluster,1,logicinsight_nutanix_core,cluster stats read io bandwidth kBps,,
logicinsight.pe.cluster_stats_read_io_ppm,gauge,15,percent,,Percentage of I/O operations that were reads.,1,logicinsight_nutanix_core,cluster stats read io ppm,,
logicinsight.pe.cluster_stats_replication_num_received_bytes,gauge,15,byte,,Total number of bytes received via replication.,1,logicinsight_nutanix_core,cluster stats replication num received bytes,,
logicinsight.pe.cluster_stats_replication_num_transmitted_bytes,gauge,15,byte,,Total number of bytes transmitted via replication.,1,logicinsight_nutanix_core,cluster stats replication num transmitted bytes,,
logicinsight.pe.cluster_stats_replication_received_bandwidth_kBps,gauge,15,kibibyte,second,Inbound replication bandwidth,1,logicinsight_nutanix_core,cluster stats replication received bandwidth kBps,,
logicinsight.pe.cluster_stats_replication_transmitted_bandwidth_kBps,gauge,15,kibibyte,second,Outbound replication bandwidth,1,logicinsight_nutanix_core,cluster stats replication transmitted bandwidth kBps,,
logicinsight.pe.cluster_stats_seq_io_ppm,gauge,15,percent,,Percentage of I/O operations that were sequential.,1,logicinsight_nutanix_core,cluster stats seq io ppm,,
logicinsight.pe.cluster_stats_timespan_usecs,gauge,15,microsecond,,Time window over which cluster metrics were collected,1,logicinsight_nutanix_core,cluster stats timespan usecs,,
logicinsight.pe.cluster_stats_total_io_size_kbytes,gauge,15,kibibyte,,Total size of all I/O operations in the cluster,1,logicinsight_nutanix_core,cluster stats total io size kbytes,,
logicinsight.pe.cluster_stats_total_io_time_usecs,gauge,15,microsecond,,Total time spent on I/O operations across the cluster,1,logicinsight_nutanix_core,cluster stats total io time usecs,,
logicinsight.pe.cluster_stats_total_read_io_size_kbytes,gauge,15,kibibyte,,Total size of read I/O operations in the cluster,1,logicinsight_nutanix_core,cluster stats total read io size kbytes,,
logicinsight.pe.cluster_stats_total_read_io_time_usecs,gauge,15,microsecond,,Total time spent on read I/O operations in the cluster,1,logicinsight_nutanix_core,cluster stats total read io time usecs,,
logicinsight.pe.cluster_stats_total_transformed_usage_bytes,gauge,15,byte,,Total amount of transformed storage usage in the cluster,1,logicinsight_nutanix_core,cluster stats total transformed usage bytes,,
logicinsight.pe.cluster_stats_total_untransformed_usage_bytes,gauge,15,byte,,Total amount of untransformed storage usage in the cluster,1,logicinsight_nutanix_core,cluster stats total untransformed usage bytes,,
logicinsight.pe.cluster_stats_write_io_bandwidth_kBps,gauge,15,kibibyte,second,Write I/O bandwidth across the cluster,1,logicinsight_nutanix_core,cluster stats write io bandwidth kBps,,
logicinsight.pe.cluster_stats_write_io_ppm,gauge,15,percent,,Percentage of I/O operations that were writes.,1,logicinsight_nutanix_core,cluster stats write io ppm,,
logicinsight.pe.cluster_total_hz,gauge,15,hertz,,Total CPU frequency across the cluster,1,logicinsight_nutanix_core,cluster total hz,,
logicinsight.pe.cluster_total_memory_bytes,gauge,15,byte,,Total memory allocated in the cluster,1,logicinsight_nutanix_core,cluster total memory bytes,,
logicinsight.pe.cluster_total_pcores,gauge,15,,,Total number of physical cores (pCores) available in the cluster.,1,logicinsight_nutanix_core,cluster total physical cores,,
logicinsight.pe.cluster_total_vcpus,gauge,15,,,Total number of virtual CPUs (vCPUs) assigned across the cluster.,1,logicinsight_nutanix_core,cluster total vcpus,,
logicinsight.pe.cluster_total_vcpus_all,gauge,15,,,Total number of virtual CPUs  in the cluster.,1,logicinsight_nutanix_core,cluster total vcpus for charge,,
logicinsight.pe.cluster_usage_stats_data_reduction.clone.saved_bytes,gauge,15,byte,,Bytes saved by clone-based data reduction techniques.,1,logicinsight_nutanix_core,cluster usage stats data reduction.clone.saved bytes,,
logicinsight.pe.cluster_usage_stats_data_reduction.clone.saving_ratio_ppm,gauge,15,percent,,Clone-based data reduction ratio,1,logicinsight_nutanix_core,cluster usage stats data reduction.clone.saving ratio ppm,,
logicinsight.pe.cluster_usage_stats_data_reduction.compression.post_reduction_bytes,gauge,15,byte,,Bytes remaining after compression was applied.,1,logicinsight_nutanix_core,cluster usage stats data reduction.compression.post reduction bytes,,
logicinsight.pe.cluster_usage_stats_data_reduction.compression.pre_reduction_bytes,gauge,15,byte,,Original size before compression was applied.,1,logicinsight_nutanix_core,cluster usage stats data reduction.compression.pre reduction bytes,,
logicinsight.pe.cluster_usage_stats_data_reduction.compression.saved_bytes,gauge,15,byte,,Bytes saved through compression.,1,logicinsight_nutanix_core,cluster usage stats data reduction.compression.saved bytes,,
logicinsight.pe.cluster_usage_stats_data_reduction.compression.saving_ratio_ppm,gauge,15,percent,,Compression efficiency ratio,1,logicinsight_nutanix_core,cluster usage stats data reduction.compression.saving ratio ppm,,
logicinsight.pe.cluster_usage_stats_data_reduction.dedup.post_reduction_bytes,gauge,15,byte,,Bytes remaining after deduplication.,1,logicinsight_nutanix_core,cluster usage stats data reduction.dedup.post reduction bytes,,
logicinsight.pe.cluster_usage_stats_data_reduction.dedup.pre_reduction_bytes,gauge,15,byte,,Original size before deduplication.,1,logicinsight_nutanix_core,cluster usage stats data reduction.dedup.pre reduction bytes,,
logicinsight.pe.cluster_usage_stats_data_reduction.dedup.saved_bytes,gauge,15,byte,,Bytes saved through deduplication.,1,logicinsight_nutanix_core,cluster usage stats data reduction.dedup.saved bytes,,
logicinsight.pe.cluster_usage_stats_data_reduction.dedup.saving_ratio_ppm,gauge,15,percent,,Deduplication efficiency ratio,1,logicinsight_nutanix_core,cluster usage stats data reduction.dedup.saving ratio ppm,,
logicinsight.pe.cluster_usage_stats_data_reduction.erasure_coding.post_reduction_bytes,gauge,15,byte,,Bytes remaining after erasure coding was applied.,1,logicinsight_nutanix_core,cluster usage stats data reduction.erasure coding.post reduction bytes,,
logicinsight.pe.cluster_usage_stats_data_reduction.erasure_coding.pre_reduction_bytes,gauge,15,byte,,Original size before erasure coding.,1,logicinsight_nutanix_core,cluster usage stats data reduction.erasure coding.pre reduction bytes,,
logicinsight.pe.cluster_usage_stats_data_reduction.erasure_coding.saved_bytes,gauge,15,byte,,Bytes saved through erasure coding.,1,logicinsight_nutanix_core,cluster usage stats data reduction.erasure coding.saved bytes,,
logicinsight.pe.cluster_usage_stats_data_reduction.erasure_coding.saving_ratio_ppm,gauge,15,percent,,Erasure coding efficiency ratio,1,logicinsight_nutanix_core,cluster usage stats data reduction.erasure coding.saving ratio ppm,,
logicinsight.pe.cluster_usage_stats_data_reduction.overall.saved_bytes,gauge,15,byte,,Total bytes saved across all data reduction methods.,1,logicinsight_nutanix_core,cluster usage stats data reduction.overall.saved bytes,,
logicinsight.pe.cluster_usage_stats_data_reduction.overall.saving_ratio_ppm,gauge,15,percent,,Overall data reduction efficiency,1,logicinsight_nutanix_core,cluster usage stats data reduction.overall.saving ratio ppm,,
logicinsight.pe.cluster_usage_stats_data_reduction.post_reduction_bytes,gauge,15,byte,,Total data remaining after all reductions.,1,logicinsight_nutanix_core,cluster usage stats data reduction.post reduction bytes,,
logicinsight.pe.cluster_usage_stats_data_reduction.pre_reduction_bytes,gauge,15,byte,,Total data size before reductions.,1,logicinsight_nutanix_core,cluster usage stats data reduction.pre reduction bytes,,
logicinsight.pe.cluster_usage_stats_data_reduction.saved_bytes,gauge,15,byte,,Total amount of saved space due to all data reduction methods.,1,logicinsight_nutanix_core,cluster usage stats data reduction.saved bytes,,
logicinsight.pe.cluster_usage_stats_data_reduction.saving_ratio_ppm,gauge,15,percent,,Overall saving ratio across all data reduction types,1,logicinsight_nutanix_core,cluster usage stats data reduction.saving ratio ppm,,
logicinsight.pe.cluster_usage_stats_data_reduction.thin_provision.post_reduction_bytes,gauge,15,byte,,Bytes remaining after thin provisioning.,1,logicinsight_nutanix_core,cluster usage stats data reduction.thin provision.post reduction bytes,,
logicinsight.pe.cluster_usage_stats_data_reduction.thin_provision.pre_reduction_bytes,gauge,15,byte,,Original size before thin provisioning.,1,logicinsight_nutanix_core,cluster usage stats data reduction.thin provision.pre reduction bytes,,
logicinsight.pe.cluster_usage_stats_data_reduction.thin_provision.saved_bytes,gauge,15,byte,,Bytes saved through thin provisioning.,1,logicinsight_nutanix_core,cluster usage stats data reduction.thin provision.saved bytes,,
logicinsight.pe.cluster_usage_stats_data_reduction.thin_provision.saving_ratio_ppm,gauge,15,percent,,Thin provisioning efficiency,1,logicinsight_nutanix_core,cluster usage stats data reduction.thin provision.saving ratio ppm,,
logicinsight.pe.cluster_usage_stats_storage.capacity_bytes,gauge,15,byte,,Total physical storage capacity in the cluster.,1,logicinsight_nutanix_core,cluster usage stats storage.capacity bytes,,
logicinsight.pe.cluster_usage_stats_storage.free_bytes,gauge,15,byte,,Free physical storage available in the cluster.,1,logicinsight_nutanix_core,cluster usage stats storage.free bytes,,
logicinsight.pe.cluster_usage_stats_storage.logical_usage_bytes,gauge,15,byte,,Logical storage usage in the cluster after data reduction.,1,logicinsight_nutanix_core,cluster usage stats storage.logical usage bytes,,
logicinsight.pe.cluster_usage_stats_storage.rebuild_capacity_bytes,gauge,15,byte,,Capacity required to rebuild lost data.,1,logicinsight_nutanix_core,cluster usage stats storage.rebuild capacity bytes,,
logicinsight.pe.cluster_usage_stats_storage.recycle_bin_usage_bytes,gauge,15,byte,,Amount of space used by deleted files in the recycle bin.,1,logicinsight_nutanix_core,cluster usage stats storage.recycle bin usage bytes,,
logicinsight.pe.cluster_usage_stats_storage.reserved_capacity_bytes,gauge,15,byte,,Storage reserved for system or failover use.,1,logicinsight_nutanix_core,cluster usage stats storage.reserved capacity bytes,,
logicinsight.pe.cluster_usage_stats_storage.reserved_free_bytes,gauge,15,byte,,Free portion of the reserved storage.,1,logicinsight_nutanix_core,cluster usage stats storage.reserved free bytes,,
logicinsight.pe.cluster_usage_stats_storage.reserved_usage_bytes,gauge,15,byte,,Used portion of the reserved storage.,1,logicinsight_nutanix_core,cluster usage stats storage.reserved usage bytes,,
logicinsight.pe.cluster_usage_stats_storage.snapshot_reclaimable_bytes,gauge,15,byte,,Amount of space that can be reclaimed from snapshots.,1,logicinsight_nutanix_core,cluster usage stats storage.snapshot reclaimable bytes,,
logicinsight.pe.cluster_usage_stats_storage.usage_bytes,gauge,15,byte,,Total used storage in the cluster.,1,logicinsight_nutanix_core,cluster usage stats storage.usage bytes,,
logicinsight.pe.cluster_usage_stats_storage_tier.das-sata.capacity_bytes,gauge,15,byte,,Total capacity of DAS-SATA tier storage.,1,logicinsight_nutanix_core,cluster usage stats storage tier.das-sata.capacity bytes,,
logicinsight.pe.cluster_usage_stats_storage_tier.das-sata.free_bytes,gauge,15,byte,,Free space in the DAS-SATA tier.,1,logicinsight_nutanix_core,cluster usage stats storage tier.das-sata.free bytes,,
logicinsight.pe.cluster_usage_stats_storage_tier.das-sata.pinned_bytes,gauge,15,byte,,Pinned storage in the DAS-SATA tier.,1,logicinsight_nutanix_core,cluster usage stats storage tier.das-sata.pinned bytes,,
logicinsight.pe.cluster_usage_stats_storage_tier.das-sata.pinned_usage_bytes,gauge,15,byte,,Used portion of pinned storage in the DAS-SATA tier.,1,logicinsight_nutanix_core,cluster usage stats storage tier.das-sata.pinned usage bytes,,
logicinsight.pe.cluster_usage_stats_storage_tier.das-sata.usage_bytes,gauge,15,byte,,Total used space in the DAS-SATA tier.,1,logicinsight_nutanix_core,cluster usage stats storage tier.das-sata.usage bytes,,
logicinsight.pe.cluster_usage_stats_storage_tier.ssd.capacity_bytes,gauge,15,byte,,Total capacity of SSD tier storage.,1,logicinsight_nutanix_core,cluster usage stats storage tier.ssd.capacity bytes,,
logicinsight.pe.cluster_usage_stats_storage_tier.ssd.free_bytes,gauge,15,byte,,Free space in the SSD tier.,1,logicinsight_nutanix_core,cluster usage stats storage tier.ssd.free bytes,,
logicinsight.pe.cluster_usage_stats_storage_tier.ssd.pinned_bytes,gauge,15,byte,,Pinned storage in the SSD tier.,1,logicinsight_nutanix_core,cluster usage stats storage tier.ssd.pinned bytes,,
logicinsight.pe.cluster_usage_stats_storage_tier.ssd.pinned_usage_bytes,gauge,15,byte,,Used portion of pinned storage in the SSD tier.,1,logicinsight_nutanix_core,cluster usage stats storage tier.ssd.pinned usage bytes,,
logicinsight.pe.cluster_usage_stats_storage_tier.ssd.usage_bytes,gauge,15,byte,,Total used space in the SSD tier.,1,logicinsight_nutanix_core,cluster usage stats storage tier.ssd.usage bytes,,
logicinsight.pe.cluster_vcpu_ratio,gauge,15,,,Ratio of vCPUs to physical cores in the cluster.,1,logicinsight_nutanix_core,cluster vcpu ratio,,
logicinsight.pe.cluster_vms_total,gauge,15,,,Total number of virtual machines (VMs) in the cluster.,1,logicinsight_nutanix_core,cluster vms total,,
logicinsight.pe.container_advertised_capacity,gauge,15,byte,,Advertised logical capacity for the container.,1,logicinsight_nutanix_core,container advertised capacity,,
